,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
449,zhigansk,RU,1.37,66.77,123.37,61.0,80.0,15.46
451,datong,CN,26.66,40.09,113.3,69.0,0.0,6.17
452,itaituba,BR,87.05,-4.26,-55.99,73.0,24.0,3.71
453,bielsk podlaski,PL,45.74,52.77,23.19,93.0,0.0,4.94
454,green river,US,21.92,41.53,-109.47,67.0,1.0,12.75
455,kortemark,BE,49.39,51.03,3.04,76.0,20.0,10.29
457,qingquan,TW,72.28,24.58,121.1,94.0,40.0,3.36
458,maniitsoq,GL,12.98,65.42,-52.9,100.0,0.0,9.98
459,colonia,RO,45.18,46.6,23.97,81.0,5.0,2.24
460,ngunguru,NZ,62.21,-35.62,174.5,97.0,88.0,16.8
461,ternate,PH,80.6,14.29,120.72,65.0,20.0,2.24
462,gasa,BT,-10.47,27.91,89.73,39.0,0.0,0.92
463,tikapur,NP,55.23,28.53,81.12,90.0,0.0,2.15
464,mitsamiouli,KM,82.4,-11.38,43.28,78.0,20.0,10.29
465,aleksandrovskoye,RU,32.51,56.74,85.39,84.0,88.0,14.0
466,gunjur,GM,87.8,13.18,-16.76,55.0,0.0,5.82
467,manicore,BR,82.4,-5.81,-61.3,83.0,20.0,2.93
468,presidencia roque saenz pena,AR,86.15,-26.79,-60.44,71.0,0.0,10.54
469,kitimat,CA,32.0,54.02,-128.69,100.0,90.0,3.36
471,murgab,TM,48.2,37.5,61.97,76.0,0.0,4.7
472,jalu,LY,82.1,29.03,21.55,30.0,0.0,9.19
473,lucapa,AO,79.31,-8.42,20.74,74.0,80.0,3.38
474,richards bay,ZA,70.44,-28.77,32.06,58.0,0.0,7.4
475,urengoy,RU,-10.43,65.96,78.37,71.0,36.0,13.56
476,nambour,AU,67.25,-26.63,152.96,92.0,64.0,11.54
477,santiago del estero,AR,88.58,-27.8,-64.26,53.0,0.0,15.23
478,erzin,TR,61.74,36.95,36.2,82.0,20.0,4.7
479,tautira,PF,75.2,-17.73,-149.15,83.0,75.0,2.24
480,shenkursk,RU,33.81,62.11,42.91,98.0,92.0,0.36
481,hirado,JP,66.26,33.32,129.49,100.0,92.0,21.27
482,chaozhou,CN,68.0,23.66,116.62,88.0,0.0,4.16
483,zitiste,RS,51.8,45.48,20.55,66.0,0.0,1.12
484,bontang,ID,82.1,0.12,117.47,100.0,44.0,5.95
489,bull savanna,JM,84.48,17.89,-77.59,61.0,0.0,3.49
490,vila velha,BR,87.8,-3.71,-38.6,52.0,40.0,23.04
491,aleksandrov gay,RU,35.16,50.14,48.57,86.0,20.0,7.63
492,panaba,MX,82.23,21.28,-88.27,76.0,20.0,4.05
494,kashiwazaki,JP,48.03,37.37,138.57,100.0,64.0,4.38
495,chandur bazar,IN,70.08,21.24,77.75,68.0,0.0,2.71
496,vanimo,PG,84.66,-2.67,141.3,100.0,48.0,7.07
497,termoli,IT,63.02,42.0,14.99,81.0,0.0,4.16
498,fernley,US,31.51,39.61,-119.25,50.0,1.0,3.04
499,tura,IN,63.65,25.52,90.21,87.0,0.0,2.37
500,sungaipenuh,ID,67.07,-2.08,101.38,95.0,92.0,0.58
501,bakuriani,GE,36.47,41.75,43.53,91.0,0.0,3.15
502,buluang,PH,80.6,10.47,123.98,78.0,20.0,5.82
503,khani,GE,48.2,41.96,42.96,70.0,0.0,2.24
505,plastun,RU,25.49,44.76,136.29,84.0,88.0,2.26
506,moose jaw,CA,11.97,50.4,-105.54,85.0,90.0,2.24
507,barpali,IN,73.14,21.2,83.58,63.0,0.0,6.51
508,lazaro cardenas,MX,62.6,28.39,-105.62,66.0,5.0,5.82
509,chernyshevskiy,RU,15.95,63.01,112.47,95.0,80.0,7.96
510,severo-yeniseyskiy,RU,17.48,60.37,93.04,84.0,68.0,3.38
511,svetlogorsk,RU,33.8,53.14,59.15,69.0,90.0,6.71
512,raudeberg,NO,52.39,61.99,5.14,71.0,75.0,17.22
513,gawler,AU,50.0,-34.6,138.75,71.0,0.0,6.93
514,northam,GB,54.5,51.04,-4.21,82.0,40.0,17.22
515,severo-kurilsk,RU,38.27,50.68,156.12,99.0,36.0,13.22
516,porto empedocle,IT,69.8,37.29,13.53,56.0,20.0,8.05
517,amberley,NZ,50.0,-43.15,172.73,93.0,92.0,4.7
518,lar,IR,75.2,27.66,54.32,38.0,0.0,6.93
519,bakchar,RU,32.78,57.02,82.07,88.0,88.0,12.77
520,seydi,NE,95.24,13.34,7.75,15.0,44.0,12.1
521,nabire,ID,68.6,-3.36,135.5,97.0,56.0,1.81
522,khasan,RU,47.0,42.43,130.64,100.0,92.0,20.38
523,le port,FR,42.05,42.87,1.37,69.0,64.0,2.71
524,alyangula,AU,83.72,-13.85,136.42,100.0,0.0,6.51
525,vila,IT,55.04,45.18,8.4,93.0,75.0,2.24
526,sungairaya,ID,77.42,0.7,108.9,97.0,76.0,2.15
527,sabya,YE,82.01,16.19,43.1,54.0,0.0,2.82
528,westport,IE,48.2,53.8,-9.52,81.0,40.0,13.87
529,witu,KE,84.44,-2.39,40.44,61.0,0.0,11.77
530,dunedin,NZ,42.09,-45.87,170.5,100.0,92.0,5.95
531,chacabuco,AR,79.67,-34.64,-60.47,56.0,0.0,16.24
532,yenagoa,NG,81.78,4.92,6.26,83.0,92.0,9.19
533,gat,SN,102.2,14.69,-16.54,21.0,0.0,4.7
534,fomboni,KM,81.56,-12.28,43.74,100.0,0.0,8.3
535,vuktyl,RU,16.22,63.86,57.31,72.0,68.0,6.29
536,avanigadda,IN,77.0,16.02,80.92,94.0,20.0,6.85
537,mangrol,IN,62.61,25.33,76.51,52.0,0.0,6.17
538,biltine,TD,89.61,14.53,20.93,14.0,0.0,8.63
539,siddapur,IN,76.88,13.66,74.91,45.0,0.0,5.61
540,mareeba,AU,77.0,-16.99,145.42,83.0,75.0,3.36
541,karpogory,RU,20.04,64.0,44.44,71.0,68.0,5.73
542,cravo norte,CO,83.99,6.3,-70.2,92.0,68.0,4.61
543,pareora,NZ,44.39,-44.49,171.21,100.0,92.0,4.61
544,bandar-e lengeh,IR,80.6,26.56,54.88,74.0,0.0,6.93
545,haines junction,CA,-2.06,60.75,-137.51,94.0,80.0,2.15
546,gazimurskiy zavod,RU,10.73,51.55,118.33,84.0,56.0,3.6
547,zhuanghe,CN,45.51,39.7,122.97,100.0,92.0,19.26
548,amlagora,IN,69.05,22.83,87.35,75.0,0.0,2.59
549,wabag,PG,47.18,-5.48,143.7,94.0,12.0,2.15
550,kisaran,ID,72.78,2.98,99.62,100.0,92.0,2.82
551,verkhnyaya inta,RU,15.95,65.99,60.32,84.0,56.0,4.27
552,pacific grove,US,49.05,36.62,-121.92,23.0,1.0,3.36
553,porbandar,IN,77.0,21.64,69.61,41.0,0.0,9.17
554,morondava,MG,84.26,-20.3,44.28,60.0,0.0,13.67
555,chateau-thierry,FR,51.21,49.05,3.4,81.0,0.0,6.93
556,conceicao do araguaia,BR,84.2,-8.26,-49.26,74.0,75.0,2.24
557,santa ana,SV,81.48,13.99,-89.56,61.0,0.0,2.24
558,honningsvag,NO,34.2,70.98,25.97,92.0,0.0,10.29
559,kolosovka,RU,23.73,56.47,73.61,92.0,56.0,21.94
560,kaeo,NZ,59.69,-35.1,173.78,95.0,80.0,11.54
561,nemuro,JP,48.35,43.32,145.57,100.0,0.0,13.0
562,waipawa,NZ,66.08,-39.94,176.59,63.0,92.0,13.78
563,buk,PL,48.2,52.36,16.52,100.0,90.0,5.82
564,rey bouba,CM,90.51,8.67,14.18,46.0,56.0,4.61
565,luena,AO,80.12,-11.78,19.91,65.0,32.0,5.61
566,develi,TR,44.6,38.39,35.49,94.0,0.0,2.15
567,la ronge,CA,1.4,55.1,-105.3,91.0,20.0,5.82
568,opuwo,NA,93.84,-18.06,13.84,12.0,0.0,5.61
569,tual,ID,84.17,-5.67,132.75,100.0,76.0,2.93
570,bedesa,ET,68.91,8.9,40.78,60.0,64.0,1.59
571,boralday,KZ,35.6,43.36,76.86,74.0,75.0,6.71
572,wanaka,NZ,39.53,-44.7,169.14,100.0,92.0,2.37
573,shipunovo,RU,33.95,52.22,82.26,91.0,92.0,21.83
574,awbari,LY,81.69,26.59,12.77,27.0,0.0,6.17
575,englewood,US,28.94,39.65,-104.99,99.0,90.0,10.29
576,bronnoysund,NO,42.62,65.46,12.2,75.0,0.0,5.82
577,aykhal,RU,1.46,65.95,111.51,75.0,68.0,6.06
578,culebra,US,43.61,34.68,-105.77,100.0,90.0,4.83
579,rongcheng,CN,45.29,37.16,122.42,100.0,12.0,15.23
581,boa vista,BR,91.4,2.82,-60.67,52.0,75.0,9.17
582,alexandria,US,58.28,31.31,-92.44,93.0,90.0,4.7
583,kamenka,RU,34.98,53.19,44.05,96.0,88.0,4.16
584,lacolle,CA,44.49,45.08,-73.37,57.0,90.0,10.29
585,yar-sale,RU,3.62,66.83,70.83,92.0,44.0,24.07
586,khorramshahr,IR,77.0,30.43,48.18,53.0,20.0,4.7
587,chimore,BO,82.28,-16.98,-65.13,70.0,12.0,4.16
588,broome,GB,51.58,52.47,1.45,81.0,20.0,10.29
589,turukhansk,RU,-12.05,65.8,87.96,76.0,64.0,6.29
590,evensk,RU,18.29,61.92,159.24,100.0,48.0,5.5
591,great yarmouth,GB,51.8,52.61,1.73,81.0,20.0,10.29
592,nouakchott,MR,78.68,18.08,-15.98,80.0,56.0,9.08
593,sarangani,PH,83.09,5.4,125.46,98.0,68.0,6.96
594,chrzanow,PL,50.81,50.14,19.4,81.0,12.0,2.24
595,malinyi,TZ,92.45,-8.94,36.14,34.0,0.0,3.94
596,darnah,LY,69.99,32.77,22.64,100.0,24.0,13.44
597,tezu,IN,54.92,27.93,96.16,50.0,0.0,2.26
598,puksoozero,RU,31.61,62.59,40.61,92.0,76.0,0.92
599,jinji,CN,63.74,22.16,112.49,86.0,0.0,4.72
600,sinnamary,GF,84.84,5.38,-52.96,87.0,0.0,11.43
603,verkhniy baskunchak,KZ,38.72,48.23,46.72,77.0,0.0,6.29
604,mizdah,LY,74.58,31.45,12.98,34.0,0.0,6.85
605,iwanai,JP,51.23,42.97,140.51,100.0,68.0,11.88
606,velingara,SN,104.0,13.64,-16.01,24.0,0.0,4.16
607,slave lake,CA,12.2,55.28,-114.77,85.0,90.0,6.93
608,ryotsu,JP,61.67,38.08,138.43,100.0,24.0,12.55
609,mogadishu,SO,80.79,2.04,45.34,99.0,12.0,12.66
610,sao joao da barra,BR,73.4,-21.64,-41.05,94.0,90.0,10.29
611,gobabis,NA,96.8,-22.45,18.97,3.0,0.0,3.36
612,eseka,CM,76.83,3.65,10.77,97.0,76.0,4.38
613,santana,BR,95.0,-0.06,-51.18,44.0,40.0,16.11
614,tahoua,NE,96.8,14.89,5.26,7.0,0.0,13.87
615,sorland,NO,42.62,67.67,12.69,87.0,0.0,5.82
616,kavieng,PG,84.08,-2.57,150.8,100.0,76.0,7.4
617,chama,ZM,89.34,-11.22,33.16,27.0,36.0,14.79
618,cognac,FR,55.4,45.69,-0.33,76.0,0.0,9.17
619,dombarovskiy,RU,33.63,50.76,59.54,88.0,92.0,12.44
620,matay,EG,75.48,28.42,30.79,41.0,0.0,6.73
621,labytnangi,RU,1.55,66.66,66.39,71.0,36.0,11.43
622,sikasso,ML,95.91,11.32,-5.68,37.0,32.0,6.73
623,talara,PE,62.6,-4.58,-81.27,290.0,0.0,10.29
624,weinan,CN,33.8,34.5,109.46,100.0,0.0,2.24
625,salinas,US,49.17,36.67,-121.66,64.0,1.0,3.36
